t_rel,V,pH_2p,pH_nernst,pH_rx,ADC
269.31,0.496,19.024,40.87461171580024,20.22,616.0
271.189,0.497,19.018,40.85770821694007,20.22,617.0
272.205,0.496,19.024,40.87461171580024,20.22,616.0
273.022,0.495,19.03,40.89151521466042,20.23,614.0
273.844,0.496,19.024,40.87461171580024,20.23,615.0
275.01,0.496,19.024,40.87461171580024,20.22,616.0
276.138,0.496,19.024,40.87461171580024,20.23,615.0
276.997,0.495,19.03,40.89151521466042,20.23,614.0
277.97,0.495,19.03,40.89151521466042,20.23,614.0
279.862,0.494,19.036,40.90841871352061,20.24,613.0
280.701,0.495,19.03,40.89151521466042,20.23,614.0
281.555,0.494,19.036,40.90841871352061,20.24,613.0
282.402,0.494,19.036,40.90841871352061,20.24,613.0
283.37,0.493,19.042,40.925322212380784,20.24,612.0
285.425,0.495,19.03,40.89151521466042,20.23,614.0
286.312,0.493,19.042,40.925322212380784,20.24,612.0
287.259,0.493,19.042,40.925322212380784,20.24,612.0
288.226,0.492,19.048000000000002,40.942225711240965,20.25,611.0
289.089,0.493,19.042,40.925322212380784,20.24,612.0
289.969,0.492,19.048000000000002,40.942225711240965,20.25,611.0
290.93,0.492,19.048000000000002,40.942225711240965,20.25,611.0
292.01,0.491,19.054000000000002,40.95912921010114,20.26,609.0
293.09,0.491,19.054000000000002,40.95912921010114,20.26,609.0
294.965,0.491,19.054000000000002,40.95912921010114,20.26,609.0
295.802,0.491,19.054000000000002,40.95912921010114,20.26,609.0
296.636,0.489,19.066,40.99293620782151,20.27,607.0
297.463,0.49,19.06,40.97603270896132,20.26,608.0
299.304,0.49,19.06,40.97603270896132,20.26,608.0
300.253,0.49,19.06,40.97603270896132,20.26,608.0
301.365,0.491,19.054000000000002,40.95912921010114,20.26,609.0
302.31,0.49,19.06,40.97603270896132,20.26,608.0
303.154,0.49,19.06,40.97603270896132,20.26,608.0
304.043,0.491,19.054000000000002,40.95912921010114,20.26,609.0
304.99,0.491,19.054000000000002,40.95912921010114,20.26,609.0
307.164,0.489,19.066,40.99293620782151,20.27,607.0
308.364,0.488,19.072,41.00983970668168,20.27,606.0
309.666,0.488,19.072,41.00983970668168,20.28,605.0
310.603,0.488,19.072,41.00983970668168,20.28,605.0
311.517,0.489,19.066,40.99293620782151,20.27,607.0
312.399,0.49,19.06,40.97603270896132,20.26,608.0
313.306,0.488,19.072,41.00983970668168,20.27,606.0
314.485,0.488,19.072,41.00983970668168,20.28,605.0
315.689,0.489,19.066,40.99293620782151,20.27,607.0
316.7,0.487,19.078,41.02674320554186,20.28,604.0
317.575,0.488,19.072,41.00983970668168,20.27,606.0
318.556,0.488,19.072,41.00983970668168,20.28,605.0
319.396,0.488,19.072,41.00983970668168,20.28,605.0
320.27,0.487,19.078,41.02674320554186,20.28,604.0
322.205,0.489,19.066,40.99293620782151,20.27,607.0
323.073,0.486,19.084,41.04364670440204,20.29,603.0
323.922,0.487,19.078,41.02674320554186,20.28,604.0
324.849,0.486,19.084,41.04364670440204,20.29,603.0
326.913,0.488,19.072,41.00983970668168,20.28,605.0
327.905,0.487,19.078,41.02674320554186,20.28,604.0
328.92,0.487,19.078,41.02674320554186,20.28,604.0
329.951,0.488,19.072,41.00983970668168,20.27,606.0
330.906,0.486,19.084,41.04364670440204,20.29,603.0
332.055,0.487,19.078,41.02674320554186,20.28,604.0
332.942,0.485,19.09,41.060550203262224,20.3,602.0
486.629,0.487,19.078,41.02674320554186,20.28,604.0
