t_rel,V,pH_2p,pH_nernst,pH_rx,ADC
370.363,0.55,18.7,39.961822777350534,19.87,682.0
371.185,0.55,18.7,39.961822777350534,19.87,682.0
372.003,0.549,18.706,39.978726276210715,19.88,681.0
372.829,0.543,18.742,40.08014726937179,19.91,674.0
373.714,0.545,18.73,40.04634027165144,19.9,676.0
374.599,0.546,18.724,40.02943677279126,19.89,678.0
375.454,0.547,18.718,40.012533273931076,19.89,679.0
376.317,0.549,18.706,39.978726276210715,19.88,681.0
377.169,0.542,18.748,40.09705076823197,19.92,673.0
378.148,0.549,18.706,39.978726276210715,19.88,681.0
379.145,0.542,18.748,40.09705076823197,19.92,673.0
380.327,0.539,18.766,40.14776126481251,19.94,669.0
381.385,0.542,18.748,40.09705076823197,19.92,673.0
382.43,0.543,18.742,40.08014726937179,19.91,674.0
383.254,0.543,18.742,40.08014726937179,19.91,674.0
384.078,0.54,18.759999999999998,40.130857765952335,19.93,670.0
384.951,0.542,18.748,40.09705076823197,19.92,672.0
386.356,0.542,18.748,40.09705076823197,19.92,672.0
387.32,0.546,18.724,40.02943677279126,19.89,678.0
388.451,0.54,18.759999999999998,40.130857765952335,19.93,670.0
389.291,0.544,18.736,40.06324377051161,19.91,675.0
390.166,0.543,18.742,40.08014726937179,19.91,674.0
390.987,0.551,18.694,39.94491927849035,19.86,684.0
391.891,0.542,18.748,40.09705076823197,19.92,673.0
393.059,0.557,18.658,39.84349828532928,19.82,691.0
394.034,0.546,18.724,40.02943677279126,19.89,678.0
394.953,0.546,18.724,40.02943677279126,19.89,678.0
395.819,0.553,18.682,39.91111228077,19.85,686.0
396.634,0.546,18.724,40.02943677279126,19.89,678.0
397.452,0.546,18.724,40.02943677279126,19.9,677.0
398.274,0.544,18.736,40.06324377051161,19.91,675.0
399.24,0.544,18.736,40.06324377051161,19.91,675.0
400.162,0.55,18.7,39.961822777350534,19.87,683.0
401.017,0.548,18.712,39.995629775070896,19.88,680.0
401.861,0.547,18.718,40.012533273931076,19.89,679.0
402.717,0.545,18.73,40.04634027165144,19.9,676.0
403.564,0.546,18.724,40.02943677279126,19.9,677.0
404.516,0.548,18.712,39.995629775070896,19.88,680.0
405.402,0.547,18.718,40.012533273931076,19.89,679.0
406.254,0.551,18.694,39.94491927849035,19.86,684.0
407.229,0.541,18.753999999999998,40.113954267092154,19.93,671.0
408.081,0.544,18.736,40.06324377051161,19.91,675.0
409.468,0.55,18.7,39.961822777350534,19.87,683.0
410.892,0.55,18.7,39.961822777350534,19.87,682.0
411.983,0.544,18.736,40.06324377051161,19.91,675.0
412.913,0.546,18.724,40.02943677279126,19.9,677.0
413.997,0.538,18.772,40.1646647636727,19.95,667.0
414.817,0.538,18.772,40.1646647636727,19.95,667.0
415.666,0.54,18.759999999999998,40.130857765952335,19.93,670.0
416.558,0.544,18.736,40.06324377051161,19.91,675.0
417.425,0.536,18.784,40.19847176139305,19.96,665.0
418.817,0.537,18.778,40.18156826253288,19.96,666.0
419.699,0.538,18.772,40.1646647636727,19.95,667.0
420.536,0.538,18.772,40.1646647636727,19.95,667.0
421.354,0.535,18.79,40.21537526025323,19.97,664.0
422.191,0.533,18.802,40.249182257973594,19.98,662.0
423.026,0.536,18.784,40.19847176139305,19.96,665.0
424.013,0.537,18.778,40.18156826253288,19.96,666.0
424.893,0.538,18.772,40.1646647636727,19.95,667.0
425.225,0.536,18.784,40.19847176139305,19.96,665.0
