t_rel,V,pH_2p,pH_nernst,pH_rx,ADC
169.223,0.516,18.904,40.53654173859665,20.09,640.0
170.037,0.516,18.904,40.53654173859665,20.09,640.0
170.891,0.517,18.898,40.51963823973647,20.09,641.0
171.759,0.518,18.892,40.50273474087629,20.08,643.0
172.59,0.52,18.88,40.46892774315593,20.07,645.0
173.525,0.519,18.886,40.48583124201611,20.07,644.0
174.654,0.521,18.874,40.45202424429575,20.06,647.0
175.558,0.521,18.874,40.45202424429575,20.06,647.0
176.407,0.522,18.868,40.43512074543557,20.05,648.0
177.279,0.522,18.868,40.43512074543557,20.05,648.0
178.146,0.522,18.868,40.43512074543557,20.05,648.0
178.953,0.523,18.862000000000002,40.41821724657539,20.05,649.0
179.775,0.523,18.862000000000002,40.41821724657539,20.05,649.0
180.639,0.513,18.922,40.58725223517719,20.11,636.0
181.473,0.513,18.922,40.58725223517719,20.11,636.0
182.326,0.513,18.922,40.58725223517719,20.11,636.0
183.169,0.511,18.934,40.621059232897544,20.13,634.0
184.033,0.512,18.928,40.60415573403737,20.12,635.0
185.229,0.512,18.928,40.60415573403737,20.12,635.0
186.314,0.511,18.934,40.621059232897544,20.13,634.0
187.01,0.512,18.928,40.60415573403737,20.12,635.0
211.22,0.511,18.934,40.621059232897544,20.13,634.0
228.304,0.513,18.922,40.58725223517719,20.11,636.0
229.157,0.513,18.922,40.58725223517719,20.11,637.0
229.976,0.513,18.922,40.58725223517719,20.11,636.0
230.809,0.512,18.928,40.60415573403737,20.12,635.0
231.652,0.511,18.934,40.621059232897544,20.13,634.0
232.598,0.512,18.928,40.60415573403737,20.12,635.0
233.772,0.513,18.922,40.58725223517719,20.11,636.0
234.816,0.513,18.922,40.58725223517719,20.11,636.0
235.669,0.513,18.922,40.58725223517719,20.11,636.0
236.518,0.513,18.922,40.58725223517719,20.11,636.0
237.372,0.512,18.928,40.60415573403737,20.12,635.0
238.201,0.511,18.934,40.621059232897544,20.13,634.0
239.047,0.509,18.945999999999998,40.65486623061791,20.14,632.0
239.875,0.511,18.934,40.621059232897544,20.13,634.0
240.775,0.51,18.94,40.637962731757725,20.13,633.0
241.848,0.509,18.945999999999998,40.65486623061791,20.14,632.0
242.969,0.509,18.945999999999998,40.65486623061791,20.14,632.0
244.13,0.51,18.94,40.637962731757725,20.13,633.0
245.355,0.51,18.94,40.637962731757725,20.13,633.0
246.347,0.509,18.945999999999998,40.65486623061791,20.14,632.0
247.212,0.51,18.94,40.637962731757725,20.13,633.0
248.071,0.508,18.951999999999998,40.671769729478086,20.14,631.0
248.925,0.509,18.945999999999998,40.65486623061791,20.14,632.0
249.772,0.509,18.945999999999998,40.65486623061791,20.14,632.0
250.636,0.51,18.94,40.637962731757725,20.13,633.0
251.611,0.51,18.94,40.637962731757725,20.13,633.0
252.624,0.51,18.94,40.637962731757725,20.13,633.0
253.599,0.509,18.945999999999998,40.65486623061791,20.14,632.0
254.446,0.509,18.945999999999998,40.65486623061791,20.14,632.0
255.262,0.509,18.945999999999998,40.65486623061791,20.14,632.0
256.233,0.509,18.945999999999998,40.65486623061791,20.14,632.0
257.08,0.51,18.94,40.637962731757725,20.13,633.0
257.925,0.51,18.94,40.637962731757725,20.13,633.0
258.767,0.511,18.934,40.621059232897544,20.13,634.0
259.68,0.509,18.945999999999998,40.65486623061791,20.14,632.0
260.542,0.51,18.94,40.637962731757725,20.13,633.0
261.539,0.509,18.945999999999998,40.65486623061791,20.14,632.0
261.827,0.509,18.945999999999998,40.65486623061791,20.14,632.0
