t_rel,V,pH_2p,pH_nernst,pH_rx,ADC
507.848,0.479,19.126,41.1619711964233,20.34,594.0
509.954,0.476,19.144,41.21268169300384,20.35,591.0
512.098,0.474,19.156,41.2464886907242,20.37,588.0
514.208,0.471,19.174,41.297199187304734,20.39,584.0
516.362,0.468,19.192,41.34790968388528,20.41,581.0
518.526,0.466,19.204,41.38171668160563,20.42,578.0
520.695,0.463,19.222,41.432427178186174,20.44,575.0
522.797,0.46,19.24,41.483137674766716,20.46,571.0
524.948,0.459,19.246,41.5000411736269,20.47,569.0
529.257,0.45,19.3,41.65217266336851,20.53,558.0
531.397,0.442,19.348,41.78740065424995,20.58,549.0
533.519,0.438,19.372,41.855014649690666,20.61,543.0
535.672,0.433,19.402,41.93953214399157,20.64,537.0
537.832,0.432,19.408,41.95643564285175,20.65,536.0
539.98,0.43,19.42,41.990242640572106,20.66,533.0
542.103,0.419,19.486,42.17618112803409,20.73,520.0
544.25,0.416,19.504,42.22689162461462,20.75,516.0
546.435,0.413,19.522,42.277602121195166,20.77,512.0
548.621,0.409,19.546,42.34521611663589,20.8,507.0
550.785,0.407,19.558,42.379023114356244,20.81,505.0
552.924,520.0,-3098.0,-8740.560660143026,,
812.791,0.5,19.0,40.806997720359526,20.2,620.0
814.837,0.5,19.0,40.806997720359526,20.19,621.0
816.858,0.499,19.006,40.82390121921971,20.21,619.0
818.907,0.5,19.0,40.806997720359526,20.19,621.0
820.94,0.5,19.0,40.806997720359526,20.2,620.0
822.964,0.5,19.0,40.806997720359526,20.19,621.0
825.015,0.499,19.006,40.82390121921971,20.21,619.0
827.068,0.5,19.0,40.806997720359526,20.19,621.0
829.115,0.501,18.994,40.790094221499345,20.19,622.0
831.148,0.5,19.0,40.806997720359526,20.2,620.0
833.133,0.5,19.0,40.806997720359526,20.2,620.0
835.133,0.498,19.012,40.84080471807988,20.21,618.0
837.147,0.5,19.0,40.806997720359526,20.2,620.0
839.145,0.5,19.0,40.806997720359526,20.2,620.0
841.125,0.499,19.006,40.82390121921971,20.21,619.0
843.076,0.499,19.006,40.82390121921971,20.21,619.0
845.101,0.496,19.024,40.87461171580024,20.22,616.0
847.117,0.496,19.024,40.87461171580024,20.22,616.0
849.161,0.493,19.042,40.925322212380784,20.24,612.0
851.173,0.491,19.054000000000002,40.95912921010114,20.26,609.0
853.132,0.487,19.078,41.02674320554186,20.28,604.0
855.134,0.484,19.096,41.077453702122405,20.31,600.0
857.141,0.481,19.114,41.12816419870294,20.32,597.0
859.126,0.479,19.126,41.1619711964233,20.34,594.0
861.151,0.476,19.144,41.21268169300384,20.35,591.0
863.159,0.469,19.186,41.3310061850251,20.4,582.0
865.157,0.467,19.198,41.36481318274546,20.41,580.0
867.119,0.463,19.222,41.432427178186174,20.44,574.0
871.172,0.456,19.264,41.55075167020743,20.49,566.0
873.172,0.451,19.294,41.63526916450833,20.52,560.0
875.155,0.444,19.336,41.753593656529596,20.57,551.0
877.16,0.438,19.372,41.855014649690666,20.61,543.0
879.182,0.434,19.396,41.92262864513139,20.63,538.0
881.153,0.43,19.42,41.990242640572106,20.66,534.0
883.229,0.425,19.45,42.07476013487301,20.69,528.0
885.363,0.421,19.474,42.142374130313726,20.72,522.0
887.418,0.418,19.492,42.19308462689426,20.74,519.0
889.387,0.416,19.504,42.22689162461462,20.75,516.0
891.39,520.0,-3098.0,-8740.560660143026,,
